,Timestamp,Object_List,Objects_Count,frisbee,clock,tv,bus,stop sign,person,chair,train,truck,car,airplane,traffic light,fire hydrant
142,1549643775047648,['car'],1,,,,,,,,,,1.0,,,
143,1549643769618401,['car'],1,,,,,,,,,,1.0,,,
144,1549643882977255,"['car', 'car']",2,,,,,,,,,,2.0,,,
145,1549643780485098,"['car', 'car']",2,,,,,,,,,,2.0,,,
146,1549642952083497,"['truck', 'car']",2,,,,,,,,,1.0,1.0,,,
147,1549643509529563,['truck'],1,,,,,,,,,1.0,,,,
148,1549644287518703,['car'],1,,,,,,,,,,1.0,,,
149,1549644085923824,"['car', 'truck', 'car']",3,,,,,,,,,1.0,2.0,,,
150,1549643116742641,"['car', 'car']",2,,,,,,,,,,2.0,,,
151,1549643028844531,"['car', 'truck']",2,,,,,,,,,1.0,1.0,,,
152,1549644400460659,"['car', 'car', 'car', 'clock']",4,,1.0,,,,,,,,3.0,,,
153,1549643760457718,['bus'],1,,,,1.0,,,,,,,,,
154,1549643568417835,"['car', 'car', 'truck']",3,,,,,,,,,1.0,2.0,,,
155,1549643596052474,"['fire hydrant', 'car']",2,,,,,,,,,,1.0,,,1.0
156,1549643138813313,"['car', 'car']",2,,,,,,,,,,2.0,,,
157,1549643505797117,"['truck', 'truck']",2,,,,,,,,,2.0,,,,
158,1549642817755134,"['car', 'car']",2,,,,,,,,,,2.0,,,
159,1549644538953727,['car'],1,,,,,,,,,,1.0,,,
160,1549643111247872,['car'],1,,,,,,,,,,1.0,,,
161,1549642786535425,['car'],1,,,,,,,,,,1.0,,,
162,1549643721887749,"['car', 'car']",2,,,,,,,,,,2.0,,,
163,1549644338790406,['car'],1,,,,,,,,,,1.0,,,
164,1549643627112455,['truck'],1,,,,,,,,,1.0,,,,
165,1549644470796297,"['car', 'car']",2,,,,,,,,,,2.0,,,
166,1549642983231500,"['truck', 'car', 'car']",3,,,,,,,,,1.0,2.0,,,
167,1549643377223693,['car'],1,,,,,,,,,,1.0,,,
168,1549644144755759,"['car', 'car', 'fire hydrant', 'car']",4,,,,,,,,,,3.0,,,1.0
169,1549643747537130,"['car', 'truck']",2,,,,,,,,,1.0,1.0,,,
170,1549643411979654,['car'],1,,,,,,,,,,1.0,,,
171,1549643072884770,"['car', 'car']",2,,,,,,,,,,2.0,,,
172,1549643309369381,"['person', 'person', 'car', 'truck']",4,,,,,,2.0,,,1.0,1.0,,,
173,1549643443165225,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
174,1549643585126443,"['car', 'person']",2,,,,,,1.0,,,,1.0,,,
175,1549642928173100,['car'],1,,,,,,,,,,1.0,,,
176,1549643204798511,"['truck', 'car', 'car', 'car']",4,,,,,,,,,1.0,3.0,,,
177,1549643917617200,"['car', 'car']",2,,,,,,,,,,2.0,,,
178,1549644511371658,['car'],1,,,,,,,,,,1.0,,,
179,1549643979764789,"['bus', 'car', 'car']",3,,,,1.0,,,,,,2.0,,,
180,1549644507629479,"['car', 'fire hydrant']",2,,,,,,,,,,1.0,,,1.0
181,1549643813249084,"['car', 'car']",2,,,,,,,,,,2.0,,,
182,1549643303874623,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
183,1549644351825634,['car'],1,,,,,,,,,,1.0,,,
184,1549644346222659,"['car', 'car']",2,,,,,,,,,,2.0,,,
185,1549644520550468,['car'],1,,,,,,,,,,1.0,,,
186,1549642715412549,['car'],1,,,,,,,,,,1.0,,,
187,1549642832539718,"['car', 'car']",2,,,,,,,,,,2.0,,,
188,1549643331254344,"['car', 'car', 'car', 'car', 'car']",5,,,,,,,,,,5.0,,,
189,1549644516924885,['car'],1,,,,,,,,,,1.0,,,
190,1549643109441617,['truck'],1,,,,,,,,,1.0,,,,
191,1549642880280662,['car'],1,,,,,,,,,,1.0,,,
192,1549644404138276,['car'],1,,,,,,,,,,1.0,,,
193,1549643094839386,['car'],1,,,,,,,,,,1.0,,,
194,1549644186370139,"['car', 'car']",2,,,,,,,,,,2.0,,,
195,1549643590559836,['car'],1,,,,,,,,,,1.0,,,
196,1549644230740064,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
197,1549644422594280,['car'],1,,,,,,,,,,1.0,,,
198,1549643223384166,['car'],1,,,,,,,,,,1.0,,,
199,1549643566598249,"['car', 'person']",2,,,,,,1.0,,,,1.0,,,
200,1549644623564521,"['car', 'car', 'car', 'car', 'clock', 'car', 'car', 'car']",8,,1.0,,,,,,,,7.0,,,
201,1549643215900780,"['car', 'car', 'truck']",3,,,,,,,,,1.0,2.0,,,
202,1549643184582769,['car'],1,,,,,,,,,,1.0,,,
203,1549643818852757,['car'],1,,,,,,,,,,1.0,,,
204,1549644179010624,['car'],1,,,,,,,,,,1.0,,,
205,1549643089291384,['car'],1,,,,,,,,,,1.0,,,
206,1549643366246529,"['car', 'car']",2,,,,,,,,,,2.0,,,
207,1549643045310595,"['truck', 'car', 'car', 'truck']",4,,,,,,,,,2.0,2.0,,,
208,1549644018737285,"['truck', 'car', 'truck']",3,,,,,,,,,2.0,1.0,,,
209,1549643144423561,"['truck', 'car']",2,,,,,,,,,1.0,1.0,,,
210,1549644040718625,"['truck', 'car', 'car']",3,,,,,,,,,1.0,2.0,,,
211,1549643822538895,['car'],1,,,,,,,,,,1.0,,,
212,1549643140685969,['car'],1,,,,,,,,,,1.0,,,
213,1549643395565716,['car'],1,,,,,,,,,,1.0,,,
214,1549644197408920,['car'],1,,,,,,,,,,1.0,,,
215,1549643926724761,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
216,1549644326004890,"['car', 'car']",2,,,,,,,,,,2.0,,,
217,1549644148375281,['car'],1,,,,,,,,,,1.0,,,
218,1549643868248220,"['car', 'car']",2,,,,,,,,,,2.0,,,
219,1549643802316769,['car'],1,,,,,,,,,,1.0,,,
220,1549644304103586,['car'],1,,,,,,,,,,1.0,,,
221,1549642872987037,"['car', 'car']",2,,,,,,,,,,2.0,,,
222,1549643784157714,"['car', 'car']",2,,,,,,,,,,2.0,,,
223,1549643919423653,"['car', 'car', 'car', 'truck']",4,,,,,,,,,1.0,3.0,,,
224,1549642708121766,['truck'],1,,,,,,,,,1.0,,,,
225,1549643787780264,['car'],1,,,,,,,,,,1.0,,,
226,1549644241539070,['car'],1,,,,,,,,,,1.0,,,
227,1549643855505578,"['car', 'car']",2,,,,,,,,,,2.0,,,
228,1549643001514155,"['car', 'truck']",2,,,,,,,,,1.0,1.0,,,
229,1549644035162285,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
230,1549644191807662,['car'],1,,,,,,,,,,1.0,,,
231,1549643195631792,"['car', 'car']",2,,,,,,,,,,2.0,,,
232,1549643191894193,['truck'],1,,,,,,,,,1.0,,,,
233,1549643608853237,"['car', 'car']",2,,,,,,,,,,2.0,,,
234,1549643384520885,"['car', 'car']",2,,,,,,,,,,2.0,,,
235,1549643413786806,['car'],1,,,,,,,,,,1.0,,,
236,1549643516950718,"['truck', 'truck']",2,,,,,,,,,2.0,,,,
237,1549643881167607,['car'],1,,,,,,,,,,1.0,,,
238,1549644531595456,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
239,1549643419214018,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
240,1549643718269123,"['car', 'train', 'truck']",3,,,,,,,,1.0,1.0,1.0,,,
241,1549644372953072,"['car', 'car']",2,,,,,,,,,,2.0,,,
242,1549644608913609,"['car', 'car']",2,,,,,,,,,,2.0,,,
243,1549644234358986,"['car', 'car', 'car', 'car', 'car']",5,,,,,,,,,,5.0,,,
244,1549642845389010,['truck'],1,,,,,,,,,1.0,,,,
245,1549644309651667,['car'],1,,,,,,,,,,1.0,,,
246,1549643749351638,['truck'],1,,,,,,,,,1.0,,,,
247,1549643386328486,"['car', 'car']",2,,,,,,,,,,2.0,,,
248,1549644195541073,['car'],1,,,,,,,,,,1.0,,,
249,1549643151782108,['car'],1,,,,,,,,,,1.0,,,
250,1549644150180065,"['truck', 'truck', 'truck']",3,,,,,,,,,3.0,,,,
251,1549643957811426,['car'],1,,,,,,,,,,1.0,,,
252,1549643966918397,"['car', 'car']",2,,,,,,,,,,2.0,,,
253,1549644250711316,"['truck', 'car', 'car', 'car']",4,,,,,,,,,1.0,3.0,,,
254,1549643658119399,['person'],1,,,,,,1.0,,,,,,,
255,1549642961324264,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
256,1549643502170346,"['truck', 'truck']",2,,,,,,,,,2.0,,,,
257,1549644610717931,"['car', 'train', 'car', 'fire hydrant', 'car']",5,,,,,,,,1.0,,3.0,,,1.0
258,1549643454279916,"['car', 'car', 'car', 'car']",4,,,,,,,,,,4.0,,,
259,1549643597857006,['car'],1,,,,,,,,,,1.0,,,
260,1549644437496048,"['car', 'car', 'car']",3,,,,,,,,,,3.0,,,
261,1549643884787953,"['person', 'car', 'car']",3,,,,,,1.0,,,,2.0,,,
262,1549644502006002,['car'],1,,,,,,,,,,1.0,,,
