Timestamp;Object_List;Objects_Count;frisbee;clock;tv;bus;stop sign;person;chair;train;truck;car;airplane;traffic light;fire hydrant
1549643109441617;['truck'];1;;;;;;;;;1.0;;;;
1549643111247872;['car'];1;;;;;;;;;;1.0;;;
1549643116742641;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643118545858;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643120361726;['truck'];1;;;;;;;;;1.0;;;;
1549643122171130;['truck', 'car', 'truck', 'car', 'car', 'car'];6;;;;;;;;;2.0;4.0;;;
1549643124035924;['car', 'person'];2;;;;;;1.0;;;;1.0;;;
1549643125913414;['car', 'car', 'car', 'car'];4;;;;;;;;;;4.0;;;
1549643127716705;['train', 'car'];2;;;;;;;;1.0;;1.0;;;
1549643129523371;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643131391934;['car'];1;;;;;;;;;;1.0;;;
1549643133266702;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643135197463;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643137008835;['car'];1;;;;;;;;;;1.0;;;
1549643138813313;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643140685969;['car'];1;;;;;;;;;;1.0;;;
1549643144423561;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643146298784;['car', 'car', 'car'];3;;;;;;;;;;3.0;;;
1549643148163383;['truck', 'car'];2;;;;;;;;;1.0;1.0;;;
1549643151782108;['car'];1;;;;;;;;;;1.0;;;
1549643153589695;['person'];1;;;;;;1.0;;;;;;;
1549643155404414;['car'];1;;;;;;;;;;1.0;;;
1549643157218649;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643159079966;['truck', 'car', 'car', 'car', 'car'];5;;;;;;;;;1.0;4.0;;;
1549643160908289;['truck'];1;;;;;;;;;1.0;;;;
1549643162713658;['truck', 'car', 'car', 'truck'];4;;;;;;;;;2.0;2.0;;;
1549643164525539;['truck'];1;;;;;;;;;1.0;;;;
1549643177335748;['car', 'car'];2;;;;;;;;;;2.0;;;
1549643182775686;['car', 'car'];2;;;;;;;;;;2.0;;;
